ISO3;Year;population;Disaster Internal Displacements (Raw);RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_ENDPOINT
AB9;2014;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2015;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2016;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2017;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2018;;2;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2019;;40000;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2020;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2021;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ABW;2021;;;;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2013;31541.2085;15170;48.095810913522854;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2014;32716.21;13125;40.11772757296765;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2015;33753.499;70948;210.19450457565893;Number of new internally displaced persons (natural disasters) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
