Participant;Signature;Ratification, Acceptance(A), Accession(a), Succession(d);ATTR_ENDPOINT
Afghanistan;27 Sep 1990;28 Mar 1994;nan
Albania;26 Jan 1990;27 Feb 1992;nan
Algeria;26 Jan 1990;16 Apr 1993;nan
Andorra;2 Oct 1995;2 Jan 1996;nan
Angola;14 Feb 1990;5 Dec 1990;nan
Antigua and Barbuda;12 Mar 1991;5 Oct 1993;nan
Argentina;29 Jun 1990;4 Dec 1990;nan
Armenia;;23 Jun 1993 a;nan
Australia;22 Aug 1990;17 Dec 1990;nan
Austria 3;26 Jan 1990;6 Aug 1992;nan
Azerbaijan;;13 Aug 1992 a;nan
Bahamas;30 Oct 1990;20 Feb 1991;nan
Bahrain;;13 Feb 1992 a;nan
Bangladesh;26 Jan 1990;3 Aug 1990;nan
Barbados;19 Apr 1990;9 Oct 1990;nan
Belarus;26 Jan 1990;1 Oct 1990;nan
Belgium;26 Jan 1990;16 Dec 1991;nan
Belize;2 Mar 1990;2 May 1990;nan
Benin;25 Apr 1990;3 Aug 1990;nan
Bhutan;4 Jun 1990;1 Aug 1990;nan
Bolivia (Plurinational State of);8 Mar 1990;26 Jun 1990;nan
Bosnia and Herzegovina 4;;1 Sep 1993 d;nan
Botswana;;14 Mar 1995 a;nan
Brazil;26 Jan 1990;24 Sep 1990;nan
Brunei Darussalam;;27 Dec 1995 a;nan
Bulgaria;31 May 1990;3 Jun 1991;nan
Burkina Faso;26 Jan 1990;31 Aug 1990;nan
Burundi;8 May 1990;19 Oct 1990;nan
Cabo Verde;;4 Jun 1992 a;nan
Cambodia;;15 Oct 1992 a;nan
Cameroon;25 Sep 1990;11 Jan 1993;nan
Canada;28 May 1990;13 Dec 1991;nan
Central African Republic;30 Jul 1990;23 Apr 1992;nan
Chad;30 Sep 1990;2 Oct 1990;nan
Chile;26 Jan 1990;13 Aug 1990;nan
China 5, 6;29 Aug 1990;2 Mar 1992;nan
Colombia;26 Jan 1990;28 Jan 1991;nan
Comoros;30 Sep 1990;22 Jun 1993;nan
Congo;;14 Oct 1993 a;nan
Cook Islands;;6 Jun 1997 a;nan
Costa Rica;26 Jan 1990;21 Aug 1990;nan
Côte d'Ivoire;26 Jan 1990;4 Feb 1991;nan
Croatia 4;;12 Oct 1992 d;nan
Cuba;26 Jan 1990;21 Aug 1991;nan
Cyprus;5 Oct 1990;7 Feb 1991;nan
Czech Republic 7;;22 Feb 1993 d;nan
Democratic People's Republic of Korea;23 Aug 1990;21 Sep 1990;nan
Democratic Republic of the Congo;20 Mar 1990;27 Sep 1990;nan
Denmark 8;26 Jan 1990;19 Jul 1991;nan
Djibouti;30 Sep 1990;6 Dec 1990;nan
Dominica;26 Jan 1990;13 Mar 1991;nan
Dominican Republic;8 Aug 1990;11 Jun 1991;nan
Ecuador;26 Jan 1990;23 Mar 1990;nan
Egypt 9;5 Feb 1990;6 Jul 1990;nan
El Salvador;26 Jan 1990;10 Jul 1990;nan
Equatorial Guinea;;15 Jun 1992 a;nan
Eritrea;20 Dec 1993;3 Aug 1994;nan
Estonia;;21 Oct 1991 a;nan
Eswatini;22 Aug 1990;7 Sep 1995;nan
Ethiopia;;14 May 1991 a;nan
Fiji;2 Jul 1993;13 Aug 1993;nan
Finland;26 Jan 1990;20 Jun 1991;nan
France;26 Jan 1990;7 Aug 1990;nan
Gabon;26 Jan 1990;9 Feb 1994;nan
Gambia;5 Feb 1990;8 Aug 1990;nan
Georgia;;2 Jun 1994 a;nan
Germany 10;26 Jan 1990;6 Mar 1992;nan
Ghana;29 Jan 1990;5 Feb 1990;nan
Greece;26 Jan 1990;11 May 1993;nan
Grenada;21 Feb 1990;5 Nov 1990;nan
Guatemala;26 Jan 1990;6 Jun 1990;nan
Guinea;;13 Jul 1990 a;nan
Guinea-Bissau;26 Jan 1990;20 Aug 1990;nan
Guyana;30 Sep 1990;14 Jan 1991;nan
Haiti;26 Jan 1990;8 Jun 1995;nan
Holy See;20 Apr 1990;20 Apr 1990;nan
Honduras;31 May 1990;10 Aug 1990;nan
Hungary;14 Mar 1990;7 Oct 1991;nan
Iceland;26 Jan 1990;28 Oct 1992;nan
India;;11 Dec 1992 a;nan
Indonesia;26 Jan 1990;5 Sep 1990;nan
Iran (Islamic Republic of) 11;5 Sep 1991;13 Jul 1994;nan
Iraq;;15 Jun 1994 a;nan
Ireland;30 Sep 1990;28 Sep 1992;nan
Israel;3 Jul 1990;3 Oct 1991;nan
Italy;26 Jan 1990;5 Sep 1991;nan
Jamaica;26 Jan 1990;14 May 1991;nan
Japan;21 Sep 1990;22 Apr 1994;nan
Jordan;29 Aug 1990;24 May 1991;nan
Kazakhstan;16 Feb 1994;12 Aug 1994;nan
Kenya;26 Jan 1990;30 Jul 1990;nan
Kiribati;;11 Dec 1995 a;nan
Kuwait;7 Jun 1990;21 Oct 1991;nan
Kyrgyzstan;;7 Oct 1994 a;nan
Lao People's Democratic Republic;;8 May 1991 a;nan
Latvia;;14 Apr 1992 a;nan
Lebanon;26 Jan 1990;14 May 1991;nan
Lesotho;21 Aug 1990;10 Mar 1992;nan
Liberia;26 Apr 1990;4 Jun 1993;nan
Libya;;15 Apr 1993 a;nan
Liechtenstein 12;30 Sep 1990;22 Dec 1995;nan
Lithuania;;31 Jan 1992 a;nan
Luxembourg;21 Mar 1990;7 Mar 1994;nan
Madagascar;19 Apr 1990;19 Mar 1991;nan
Malawi;;2 Jan 1991 a;nan
Malaysia;;17 Feb 1995 a;nan
Maldives;21 Aug 1990;11 Feb 1991;nan
Mali;26 Jan 1990;20 Sep 1990;nan
Malta;26 Jan 1990;30 Sep 1990;nan
Marshall Islands;14 Apr 1993;4 Oct 1993;nan
Mauritania;26 Jan 1990;16 May 1991;nan
Mauritius;;26 Jul 1990 a;nan
Mexico;26 Jan 1990;21 Sep 1990;nan
Micronesia (Federated States of);;5 May 1993 a;nan
Monaco;;21 Jun 1993 a;nan
Mongolia;26 Jan 1990;5 Jul 1990;nan
Montenegro 13;;23 Oct 2006 d;nan
Morocco;26 Jan 1990;21 Jun 1993;nan
Mozambique;30 Sep 1990;26 Apr 1994;nan
Myanmar;;15 Jul 1991 a;nan
Namibia;26 Sep 1990;30 Sep 1990;nan
Nauru;;27 Jul 1994 a;nan
Nepal;26 Jan 1990;14 Sep 1990;nan
Netherlands 14;26 Jan 1990;6 Feb 1995 A;nan
New Zealand 15;1 Oct 1990;6 Apr 1993;nan
Nicaragua;6 Feb 1990;5 Oct 1990;nan
Niger;26 Jan 1990;30 Sep 1990;nan
Nigeria;26 Jan 1990;19 Apr 1991;nan
Niue;;20 Dec 1995 a;nan
North Macedonia 4, 16;;2 Dec 1993 d;nan
Norway;26 Jan 1990;8 Jan 1991;nan
Oman;;9 Dec 1996 a;nan
Pakistan;20 Sep 1990;12 Nov 1990;nan
Palau;;4 Aug 1995 a;nan
Panama;26 Jan 1990;12 Dec 1990;nan
Papua New Guinea;30 Sep 1990;2 Mar 1993;nan
Paraguay;4 Apr 1990;25 Sep 1990;nan
Peru;26 Jan 1990;4 Sep 1990;nan
Philippines;26 Jan 1990;21 Aug 1990;nan
Poland;26 Jan 1990;7 Jun 1991;nan
Portugal 5;26 Jan 1990;21 Sep 1990;nan
Qatar;8 Dec 1992;3 Apr 1995;nan
Republic of Korea 17;25 Sep 1990;20 Nov 1991;nan
Republic of Moldova;;26 Jan 1993 a;nan
Romania;26 Jan 1990;28 Sep 1990;nan
Russian Federation;26 Jan 1990;16 Aug 1990;nan
Rwanda;26 Jan 1990;24 Jan 1991;nan
Samoa;30 Sep 1990;29 Nov 1994;nan
San Marino;;25 Nov 1991 a;nan
Sao Tome and Principe;;14 May 1991 a;nan
Saudi Arabia;;26 Jan 1996 a;nan
Senegal;26 Jan 1990;31 Jul 1990;nan
Serbia 4;;12 Mar 2001 d;nan
Seychelles;;7 Sep 1990 a;nan
Sierra Leone;13 Feb 1990;18 Jun 1990;nan
Singapore;;5 Oct 1995 a;nan
Slovakia 7;;28 May 1993 d;nan
Slovenia 4;;6 Jul 1992 d;nan
Solomon Islands;;10 Apr 1995 a;nan
Somalia;9 May 2002;1 Oct 2015;nan
South Africa;29 Jan 1993;16 Jun 1995;nan
South Sudan;;23 Jan 2015 a;nan
Spain;26 Jan 1990;6 Dec 1990;nan
Sri Lanka;26 Jan 1990;12 Jul 1991;nan
St. Kitts and Nevis;26 Jan 1990;24 Jul 1990;nan
St. Lucia;30 Sep 1990;16 Jun 1993;nan
St. Vincent and the Grenadines;20 Sep 1993;26 Oct 1993;nan
State of Palestine;;2 Apr 2014 a;nan
Sudan;24 Jul 1990;3 Aug 1990;nan
Suriname;26 Jan 1990;1 Mar 1993;nan
Sweden;26 Jan 1990;29 Jun 1990;nan
Switzerland;1 May 1991;24 Feb 1997;nan
Syrian Arab Republic;18 Sep 1990;15 Jul 1993;nan
Tajikistan;;26 Oct 1993 a;nan
Thailand;;27 Mar 1992 a;nan
Timor-Leste;;16 Apr 2003 a;nan
Togo;26 Jan 1990;1 Aug 1990;nan
Tonga;;6 Nov 1995 a;nan
Trinidad and Tobago;30 Sep 1990;5 Dec 1991;nan
Tunisia;26 Feb 1990;30 Jan 1992;nan
