Participant;Signature;Accession(a), Ratification;ATTR_ENDPOINT
Albania;24 Sep 2012;29 May 2013;nan
Andorra;26 Sep 2012;25 Sep 2014;nan
Argentina;25 Jul 2012;14 Apr 2015;nan
Armenia;26 Sep 2019;24 Mar 2021;nan
Austria;28 Feb 2012;;nan
Belgium;28 Feb 2012;30 May 2014;nan
Benin;24 Sep 2013;19 Aug 2019;nan
Bolivia (Plurinational State of);;2 Apr 2013 a;nan
Bosnia and Herzegovina;11 Jul 2017;17 May 2018;nan
Brazil;28 Feb 2012;29 Sep 2017;nan
Cabo Verde;24 Sep 2012;;nan
Chile;28 Feb 2012;1 Sep 2015;nan
Costa Rica;28 Feb 2012;14 Jan 2014;nan
Côte d'Ivoire;24 Sep 2013;;nan
Croatia;27 Dec 2013;18 Apr 2017;nan
Cyprus;27 Jul 2012;11 Sep 2017;nan
Czech Republic;30 Apr 2015;2 Dec 2015;nan
Denmark 1;;7 Oct 2015 a;nan
Ecuador;24 Apr 2013;19 Sep 2018;nan
El Salvador;25 Jul 2013;9 Feb 2015;nan
Finland;28 Feb 2012;12 Nov 2015;nan
France;20 Nov 2014;7 Jan 2016;nan
Gabon;;25 Sep 2012 a;nan
Georgia;;19 Sep 2016 a;nan
Germany;28 Feb 2012;28 Feb 2013;nan
Ghana;24 Sep 2013;;nan
Guinea-Bissau;24 Sep 2013;;nan
Ireland;24 Sep 2014;24 Sep 2014;nan
Italy;28 Feb 2012;4 Feb 2016;nan
Liechtenstein;24 Sep 2012;25 Jan 2017;nan
Lithuania;30 Sep 2015;3 Oct 2022;nan
Luxembourg;28 Feb 2012;12 Feb 2016;nan
Madagascar;24 Sep 2012;;nan
Maldives;28 Feb 2012;27 Sep 2019;nan
Mali;28 Feb 2012;;nan
Malta;18 Apr 2012;;nan
Marshall Islands;;29 Jan 2019 a;nan
Mauritius;13 Aug 2012;;nan
Monaco;;24 Sep 2014 a;nan
Mongolia;4 Oct 2013;28 Sep 2015;nan
Montenegro;28 Feb 2012;24 Sep 2013;nan
Morocco;28 Feb 2012;;nan
New Zealand 2;;22 Sep 2022 a;nan
North Macedonia;23 May 2012;;nan
Panama;;16 Feb 2017 a;nan
Paraguay;26 Sep 2012;20 Jan 2017;nan
Peru;28 Feb 2012;6 Jan 2016;nan
Poland;30 Sep 2013;;nan
Portugal;28 Feb 2012;24 Sep 2013;nan
Romania;13 Jun 2012;;nan
Samoa;;29 Apr 2016 a;nan
San Marino;;26 Sep 2018 a;nan
Senegal;1 Oct 2012;;nan
Serbia;28 Feb 2012;;nan
Seychelles;24 Sep 2013;7 Jun 2021;nan
Slovakia;28 Feb 2012;3 Dec 2013;nan
Slovenia;28 Feb 2012;25 May 2018;nan
Spain;28 Feb 2012;3 Jun 2013;nan
State of Palestine;;10 Apr 2019 a;nan
Switzerland;;24 Apr 2017 a;nan
Thailand;25 Sep 2012;25 Sep 2012;nan
Tunisia;;14 Dec 2018 a;nan
Türkiye;24 Sep 2012;26 Dec 2017;nan
Ukraine;20 Nov 2014;2 Sep 2016;nan
Uruguay;28 Feb 2012;23 Feb 2015;nan
