COUNTRY_NAME;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
Iceland;0.969;2022.0;nan
Sweden;0.991;2022.0;nan
Finland;0.987;2022.0;nan
Netherlands;0.972;2022.0;nan
Germany;0.991;2022.0;nan
Luxembourg;0.991;2022.0;nan
Denmark;0.978;2022.0;nan
Austria;0.978;2022.0;nan
Slovenia;0.971;2022.0;nan
Norway;0.984;2022.0;nan
Portugal;0.999;2022.0;nan
France;0.955;2022.0;nan
Thailand;0.939;2022.0;nan
Latvia;0.966;2022.0;nan
Chile;0.971;2022.0;nan
Republic of Korea;0.994;2022.0;nan
Czechia;0.943;2022.0;nan
Italy;0.969;2022.0;nan
Cuba;0.947;2022.0;nan
Kazakhstan;0.945;2022.0;nan
Japan;0.977;2022.0;nan
Croatia;0.928;2022.0;nan
Estonia;0.972;2022.0;nan
Oman;0.9;2022.0;nan
Turkey;0.967;2022.0;nan
Uruguay;0.971;2022.0;nan
Bulgaria;0.914;2022.0;nan
Belgium;0.985;2022.0;nan
Malta;0.982;2022.0;nan
Barbados;0.935;2022.0;nan
Switzerland;0.991;2022.0;nan
Greece;0.991;2022.0;nan
Qatar;0.941;2022.0;nan
Serbia;0.9;2022.0;nan
Cyprus;0.942;2022.0;nan
Bahrain;0.953;2022.0;nan
Singapore;0.967;2022.0;nan
Egypt;0.933;2022.0;nan
Mexico;0.918;2022.0;nan
Hungary;0.993;2022.0;nan
Peru;0.827;2022.0;nan
Malaysia;0.888;2022.0;nan
Georgia;0.912;2022.0;nan
Colombia;0.921;2022.0;nan
North Macedonia;0.902;2022.0;nan
Lebanon;0.862;2022.0;nan
Saint Vincent and the Grenadines;0.927;2022.0;nan
Canada;0.96;2022.0;nan
Montenegro;0.717;2022.0;nan
Antigua and Barbuda;0.893;2022.0;nan
San Marino;0.96;2022.0;nan
Albania;0.946;2022.0;nan
Ireland;0.923;2022.0;nan
Bosnia and Herzegovina;0.86;2022.0;nan
Israel;1.0;2022.0;nan
Viet Nam;0.868;2022.0;nan
Mauritius;0.874;2022.0;nan
Brunei Darussalam;0.931;2022.0;nan
Cabo Verde;0.812;2022.0;nan
Algeria;0.86;2022.0;nan
Republic of Moldova;0.841;2022.0;nan
Tonga;0.972;2022.0;nan
Turkmenistan;0.978;2022.0;nan
Azerbaijan;0.887;2022.0;nan
Bolivia (Plurinational State of);0.776;2022.0;nan
Morocco;0.912;2022.0;nan
Paraguay;0.91;2022.0;nan
Jamaica;0.881;2022.0;nan
Tunisia;0.954;2022.0;nan
Philippines;0.719;2022.0;nan
Guyana;0.89;2022.0;nan
Nicaragua;0.819;2022.0;nan
Honduras;0.838;2022.0;nan
Costa Rica;0.964;2022.0;nan
Ecuador;0.867;2022.0;nan
United Arab Emirates;1.0;2022.0;nan
Belize;0.877;2022.0;nan
Grenada;0.875;2022.0;nan
Samoa;0.798;2022.0;nan
Saint Lucia;0.892;2022.0;nan
Jordan;0.893;2022.0;nan
Spain;0.996;2022.0;nan
Trinidad and Tobago;0.949;2022.0;nan
Ukraine;0.898;2022.0;nan
Botswana;0.801;2022.0;nan
Belarus;0.967;2022.0;nan
South Africa;0.833;2022.0;nan
Uzbekistan;0.974;2022.0;nan
Slovakia;0.978;2022.0;nan
Iran (Islamic Republic of);0.939;2022.0;nan
Brazil;0.894;2022.0;nan
Russian Federation;0.936;2022.0;nan
Kyrgyzstan;0.928;2022.0;nan
Kuwait;0.996;2022.0;nan
Lithuania;0.927;2022.0;nan
Argentina;0.899;2022.0;nan
Mongolia;0.837;2022.0;nan
Bhutan;0.826;2022.0;nan
China;0.942;2022.0;nan
Libya;0.819;2022.0;nan
Fiji;0.935;2022.0;nan
Bangladesh;0.717;2022.0;nan
State of Palestine;0.976;2022.0;nan
Venezuela (Bolivarian Republic of);0.87;2022.0;nan
Tajikistan;0.869;2022.0;nan
Dominican Republic;0.871;2022.0;nan
Palau;0.973;2022.0;nan
Sao Tome and Principe;0.723;2022.0;nan
Timor-Leste;0.521;2022.0;nan
Namibia;0.614;2022.0;nan
Suriname;0.743;2022.0;nan
Indonesia;0.746;2022.0;nan
Nauru;0.873;2022.0;nan
Armenia;0.952;2022.0;nan
India;0.641;2022.0;nan
Romania;0.904;2022.0;nan
Democratic People's Republic of Korea;0.876;2022.0;nan
Panama;0.854;2022.0;nan
Senegal;0.695;2022.0;nan
Lao People's Democratic Republic;0.687;2022.0;nan
Rwanda;0.693;2022.0;nan
Kiribati;0.664;2022.0;nan
Poland;0.916;2022.0;nan
Djibouti;0.503;2022.0;nan
Vanuatu;0.693;2022.0;nan
Cambodia;0.599;2022.0;nan
Maldives;0.908;2022.0;nan
Myanmar;0.717;2022.0;nan
Nepal;0.704;2022.0;nan
Gabon;0.612;2022.0;nan
Ghana;0.619;2022.0;nan
Eswatini;0.674;2022.0;nan
Kenya;0.557;2022.0;nan
Australia;0.982;2022.0;nan
Solomon Islands;0.53;2022.0;nan
Burundi;0.502;2022.0;nan
Seychelles;0.959;2022.0;nan
Guatemala;0.775;2022.0;nan
Bahamas;0.922;2022.0;nan
Malawi;0.594;2022.0;nan
Mauritania;0.54;2022.0;nan
Zimbabwe;0.567;2022.0;nan
Saudi Arabia;0.958;2022.0;nan
Saint Kitts and Nevis;0.974;2022.0;nan
Congo;0.498;2022.0;nan
Gambia;0.66;2022.0;nan
Sri Lanka;0.814;2022.0;nan
Syrian Arab Republic;0.75;2022.0;nan
Pakistan;0.677;2022.0;nan
Zambia;0.592;2022.0;nan
Uganda;0.5;2022.0;nan
United Republic of Tanzania;0.516;2022.0;nan
Mali;0.543;2022.0;nan
Benin;0.417;2022.0;nan
Madagascar;0.275;2022.0;nan
Lesotho;0.608;2022.0;nan
Togo;0.457;2022.0;nan
Angola;0.395;2022.0;nan
Haiti;0.523;2022.0;nan
Burkina Faso;0.436;2022.0;nan
Liberia;0.483;2022.0;nan
Yemen;0.364;2022.0;nan
