goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Reporting Type;ATTR_ENDPOINT
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2012.0;1.49887;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2013.0;1.8078;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2014.0;1.52509;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2015.0;1.88792;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2016.0;1.90549;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2017.0;1.91236;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2018.0;1.91547;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;53;Australia and New Zealand;2019.0;1.92303;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;40;Austria;2009.0;9.06;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;40;Austria;2010.0;8.88;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;40;Austria;2011.0;8.99;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;40;Austria;2012.0;9.18;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;40;Austria;2013.0;9.06;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;40;Austria;2014.0;9.09;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;40;Austria;2015.0;9.28;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
