goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Reporting Type;ATTR_ENDPOINT
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;2;Africa;2017.0;10;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;2;Africa;2020.0;2;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;2;Africa;2021.0;6;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;8;Albania;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;19;Americas;2017.0;4;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;19;Americas;2019.0;5;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;19;Americas;2020.0;6;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;19;Americas;2021.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;28;Antigua and Barbuda;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;32;Argentina;2020.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;142;Asia;2017.0;8;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;142;Asia;2019.0;7;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;142;Asia;2020.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;142;Asia;2021.0;5;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;40;Austria;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;31;Azerbaijan;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;48;Bahrain;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;52;Barbados;2020.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;56;Belgium;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;64;Bhutan;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;76;Brazil;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;100;Bulgaria;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;854;Burkina Faso;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;29;Caribbean;2017.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;29;Caribbean;2019.0;1;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;29;Caribbean;2020.0;2;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;13;Central America;2019.0;2;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;13;Central America;2020.0;2;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;13;Central America;2021.0;1;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;62;Central and Southern Asia;2017.0;1;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;62;Central and Southern Asia;2019.0;4;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;62;Central and Southern Asia;2021.0;1;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;143;Central Asia;2017.0;1;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
