goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;ATTR_ENDPOINT
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;4;Afghanistan;2017.0;0.25;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;4;Afghanistan;2018.0;0.3;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;4;Afghanistan;2019.0;0.725;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;8;Albania;2018.0;0.05;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;12;Algeria;2019.0;0.15;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;12;Algeria;2020.0;1;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;24;Angola;2014.0;0.525;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;24;Angola;2015.0;0.3;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;24;Angola;2016.0;0.325;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;24;Angola;2017.0;0.375;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;24;Angola;2018.0;0.425;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
['1'];['1.5'];['1.5.3'];SG_DSR_LGRGSR;Score of adoption and implementation of national DRR strategies in line with the Sendai Framework;575;28;Antigua and Barbuda;2019.0;0.6;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;['Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.'];C;INDEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_DSR_LGRGSR&pageSize=999999999
