COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2023;No ISO or IEC national standards authority;This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BY;BLR;BLR;nan
