COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2022;Yes;Yes is bad, no is good No = 2, yes = 1, no data = 0;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2022;Yes;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2022;Yes;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2022;Yes;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2022;No;;This indicator records whether there are reports of children used in hostilities by state or non-state groups, based on the UN Watchlist, updated annually by the UN Secretary General in his/her report on Children and Armed Conflict and monitored by the Watchlist on Children and Armed Conflict  ;;;;;;;;;;;;HR;HRV;HRV;nan
