COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2022.0;5+;"0 = No data		; 1 Sporadic violations of rights = 1; 2 Repeated violations of rights =2; 3 Regular violations of rights =3; 4 Systematic violations of rights =4; 5 and 5+ No guarantee of rights / 5+ No guarantee of rights due to the breakdown of the rule of law = 5";Data source: ITUC Global Rights Index (annual update, available online in tabular form)  https://www.globalrightsindex.org/en/2022/countries;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2022.0;1;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2022.0;5+;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2022.0;5+;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2022.0;1;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;EC;ECU;ECU;nan
