COUNTRY_ISO_3;TIME_PERIOD;population;COUNTRY_ISO_3_original;country_col_not_used;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;ATTR_ENDPOINT
AFG;2022;41128.771;AFG;Afghanistan;546.8629247394725;"Suggest: 0 = no data; 1 = 10,00 or above reports; 2 = 50,000 reports or above; 3 = 100,000 reports or above; 4 = 500,000 reports or above; 5 = over 1 million reports";"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;
ALB;2022;2842.321;ALB;Albania;400.23628576786365;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AL;ALB;
AND;2022;79.824;AND;Andorra;253.05672479454802;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AD;AND;
DZA;2022;44903.225;DZA;Algeria;1628.3173424625961;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;DZ;DZA;
AGO;2022;35588.987;AGO;Angola;63.62642465771785;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AO;AGO;
ATG;2022;93.763;ATG;Antigua and Barbuda;374.34809039813143;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AG;ATG;
ARG;2022;45510.318;ARG;Argentina;298.9212248527905;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AR;ARG;
ARM;2022;2780.469;ARM;Armenia;142.81763256486585;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AM;ARM;
AUS;2022;26177.4135;AUS;Australia;695.4468591788108;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AU;AUS;
AUT;2022;8939.617;AUT;Austria;206.95517492527924;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AT;AUT;
AZE;2022;10358.074;AZE;Azerbaijan;97.28642602862269;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;AZ;AZE;
BHS;2022;409.984;BHS;Bahamas;369.03879175772715;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BS;BHS;
BHR;2022;1472.233;BHR;Bahrain;1758.9607079857603;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BH;BHR;
BGD;2022;171186.3725;BGD;Bangladesh;1253.077548564796;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BD;BGD;
BRB;2022;281.635;BRB;Barbados;882.7027890709606;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BB;BRB;
BLR;2022;9534.9545;BLR;Belarus;69.19802291662745;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BY;BLR;
