Participant;Signature, Succession to signature(d);Ratification, Accession(a), Succession(d);ATTR_ENDPOINT
Albania;;5 Jun 2007 a;nan
Algeria;;21 Apr 2005 a;nan
Argentina;10 Aug 2004;23 Feb 2007;nan
Armenia;26 Sep 2013;;nan
Azerbaijan;;11 Jan 1999 a;nan
Bangladesh;7 Oct 1998;24 Aug 2011;nan
Belize;;14 Nov 2001 a;nan
Benin;15 Sep 2005;6 Jul 2018;nan
Bolivia (Plurinational State of);;16 Oct 2000 a;nan
Bosnia and Herzegovina;;13 Dec 1996 a;nan
Burkina Faso;16 Nov 2001;26 Nov 2003;nan
Cabo Verde;;16 Sep 1997 a;nan
Cambodia;27 Sep 2004;;nan
Cameroon;15 Dec 2009;;nan
Chad;26 Sep 2012;22 Feb 2022;nan
Chile;24 Sep 1993;21 Mar 2005;nan
Colombia;;24 May 1995 a;nan
Comoros;22 Sep 2000;;nan
Congo;29 Sep 2008;31 Mar 2017;nan
Ecuador;;5 Feb 2002 a;nan
Egypt;;19 Feb 1993 a;nan
El Salvador;13 Sep 2002;14 Mar 2003;nan
Fiji;;19 Aug 2019 a;nan
Gabon;15 Dec 2004;;nan
Gambia;20 Sep 2017;28 Sep 2018;nan
Ghana;7 Sep 2000;7 Sep 2000;nan
Guatemala;7 Sep 2000;14 Mar 2003;nan
Guinea;;7 Sep 2000 a;nan
Guinea-Bissau;12 Sep 2000;22 Oct 2018;nan
Guyana;15 Sep 2005;7 Jul 2010;nan
Haiti;5 Dec 2013;;nan
Honduras;;9 Aug 2005 a;nan
Indonesia;22 Sep 2004;31 May 2012;nan
Jamaica;25 Sep 2008;25 Sep 2008;nan
Kyrgyzstan;;29 Sep 2003 a;nan
Lesotho;24 Sep 2004;16 Sep 2005;nan
Liberia;22 Sep 2004;;nan
Libya;;18 Jun 2004 a;nan
Madagascar;24 Sep 2014;13 May 2015;nan
Malawi;23 Sep 2022;23 Sep 2022;nan
Mali;;5 Jun 2003 a;nan
Mauritania;;22 Jan 2007 a;nan
Mexico;22 May 1991;8 Mar 1999;nan
Montenegro 2;23 Oct 2006 d;;nan
Morocco;15 Aug 1991;21 Jun 1993;nan
Mozambique;15 Mar 2012;19 Aug 2013;nan
Nicaragua;;26 Oct 2005 a;nan
Niger;;18 Mar 2009 a;nan
Nigeria;;27 Jul 2009 a;nan
Palau;20 Sep 2011;;nan
Paraguay;13 Sep 2000;23 Sep 2008;nan
Peru;22 Sep 2004;14 Sep 2005;nan
Philippines;15 Nov 1993;5 Jul 1995;nan
Rwanda;;15 Dec 2008 a;nan
Sao Tome and Principe;6 Sep 2000;10 Jan 2017;nan
Senegal;;9 Jun 1999 a;nan
Serbia;11 Nov 2004;;nan
Seychelles;;15 Dec 1994 a;nan
Sierra Leone;15 Sep 2000;;nan
Sri Lanka;;11 Mar 1996 a;nan
St. Vincent and the Grenadines;;29 Oct 2010 a;nan
Syrian Arab Republic;;2 Jun 2005 a;nan
Tajikistan;7 Sep 2000;8 Jan 2002;nan
Timor-Leste;;30 Jan 2004 a;nan
Togo;15 Nov 2001;16 Dec 2020;nan
Türkiye;13 Jan 1999;27 Sep 2004;nan
Uganda;;14 Nov 1995 a;nan
Uruguay;;15 Feb 2001 a;nan
Venezuela (Bolivarian Republic of);4 Oct 2011;25 Oct 2016;nan
