Country;Date;Status;Note;ATTR_ENDPOINT
Afghanistan;01 Oct 1969;In Force;;nan
Albania;27 Feb 1997;In Force;;nan
Algeria;12 Jun 1969;In Force;;nan
Angola;04 Jun 1976;In Force;;nan
Antigua and Barbuda;02 Feb 1983;In Force;;nan
Argentina;18 Jun 1968;In Force;;nan
Armenia;29 Jul 1994;In Force;;nan
Australia;15 Jun 1973;In Force;;nan
Austria;10 Jan 1973;In Force;;nan
Azerbaijan;19 May 1992;In Force;;nan
Bahamas;14 Jun 2001;In Force;;nan
Bahrain;26 Sep 2000;In Force;;nan
Bangladesh;22 Jun 1972;In Force;;nan
Barbados;14 Oct 1974;In Force;;nan
Belarus;04 Aug 1961;In Force;;nan
Belgium;22 Mar 1977;In Force;;nan
Belize;22 Jun 1999;In Force;;nan
Benin;22 May 1961;In Force;;nan
Bolivia (Plurinational State of);31 Jan 1977;In Force;;nan
Bosnia and Herzegovina;02 Jun 1993;In Force;;nan
Botswana;05 Jun 1997;In Force;;nan
Brazil;26 Nov 1965;In Force;;nan
Bulgaria;22 Jul 1960;In Force;;nan
Burkina Faso;16 Apr 1962;In Force;;nan
Burundi;25 Jun 1993;In Force;;nan
Cabo Verde;03 Apr 1979;In Force;;nan
Cambodia;23 Aug 1999;In Force;;nan
Cameroon;13 May 1988;In Force;;nan
Canada;26 Nov 1964;In Force;;nan
Central African Republic;09 Jun 1964;In Force;;nan
Chad;29 Mar 1966;In Force;;nan
Chile;20 Sep 1971;In Force;;nan
China;12 Jan 2006;In Force;;nan
Colombia;04 Mar 1969;In Force;;nan
Comoros;17 Mar 2004;In Force;;nan
Congo;26 Nov 1999;In Force;;nan
Costa Rica;01 Mar 1962;In Force;;nan
Croatia;08 Oct 1991;In Force;;nan
Cuba;26 Aug 1965;In Force;;nan
Cyprus;02 Feb 1968;In Force;;nan
Czechia;01 Jan 1993;In Force;;nan
Côte d'Ivoire;05 May 1961;In Force;;nan
Democratic Republic of the Congo;20 Jun 2001;In Force;;nan
Denmark;22 Jun 1960;In Force;;nan
Djibouti;28 Feb 2005;In Force;;nan
Dominica;28 Feb 1983;In Force;;nan
Dominican Republic;13 Jul 1964;In Force;;nan
Ecuador;10 Jul 1962;In Force;;nan
Egypt;10 May 1960;In Force;;nan
El Salvador;15 Jun 1995;In Force;;nan
Equatorial Guinea;13 Aug 2001;In Force;;nan
Eritrea;22 Feb 2000;In Force;;nan
Estonia;17 Aug 2005;In Force;;nan
Eswatini;05 Jun 1981;In Force;;nan
Ethiopia;11 Jun 1966;In Force;;nan
Fiji;17 Apr 2002;In Force;;nan
Finland;23 Apr 1970;In Force;;nan
France;28 May 1981;In Force;;nan
Gabon;29 May 1961;In Force;;nan
Gambia;04 Sep 2000;In Force;;nan
Georgia;22 Jun 1993;In Force;;nan
Germany;15 Jun 1961;In Force;;nan
Ghana;04 Apr 1961;In Force;;nan
Greece;07 May 1984;In Force;;nan
