Participant;Signature;Ratification, Accession(a), Succession(d);ATTR_ENDPOINT
Afghanistan;;19 Sep 2002 a;nan
Albania;;5 Feb 2008 a;nan
Algeria;;27 Dec 2006 a;nan
Andorra;7 Sep 2000;30 Apr 2001;nan
Angola;;24 Mar 2005 a;nan
Antigua and Barbuda;18 Dec 2001;30 Apr 2002;nan
Argentina;1 Apr 2002;25 Sep 2003;nan
Armenia;24 Sep 2003;30 Jun 2005;nan
Australia;18 Dec 2001;8 Jan 2007;nan
Austria;6 Sep 2000;6 May 2004;nan
Azerbaijan;8 Sep 2000;3 Jul 2002;nan
Bahamas;;28 Sep 2015 a;nan
Bahrain;;21 Sep 2004 a;nan
Bangladesh;6 Sep 2000;6 Sep 2000;nan
Belarus;;23 Jan 2002 a;nan
Belgium 1;6 Sep 2000;17 Mar 2006;nan
Belize;6 Sep 2000;1 Dec 2003;nan
Benin;22 Feb 2001;31 Jan 2005;nan
Bhutan;15 Sep 2005;26 Oct 2009;nan
Bolivia (Plurinational State of);10 Nov 2001;3 Jun 2003;nan
Bosnia and Herzegovina;7 Sep 2000;4 Sep 2002;nan
Botswana;;24 Sep 2003 a;nan
Brazil;6 Sep 2000;27 Jan 2004;nan
Brunei Darussalam;;21 Nov 2006 a;nan
Bulgaria;8 Jun 2001;12 Feb 2002;nan
Burkina Faso;16 Nov 2001;31 Mar 2006;nan
Burundi;;6 Nov 2007 a;nan
Cabo Verde;;10 May 2002 a;nan
Cambodia;27 Jun 2000;30 May 2002;nan
Cameroon;5 Oct 2001;;nan
Canada;10 Nov 2001;14 Sep 2005;nan
Central African Republic;27 Sep 2010;24 Oct 2012;nan
Chad;3 May 2002;28 Aug 2002;nan
Chile;28 Jun 2000;6 Feb 2003;nan
China 2;6 Sep 2000;3 Dec 2002;nan
Colombia;6 Sep 2000;11 Nov 2003;nan
Comoros;;23 Feb 2007 a;nan
Congo;;27 Oct 2009 a;nan
Costa Rica;7 Sep 2000;9 Apr 2002;nan
Côte d'Ivoire;;19 Sep 2011 a;nan
Croatia;8 May 2002;13 May 2002;nan
Cuba;13 Oct 2000;25 Sep 2001;nan
Cyprus;8 Feb 2001;6 Apr 2006;nan
Czech Republic;26 Jan 2005;26 Aug 2013;nan
Democratic People's Republic of Korea;9 Sep 2014;10 Nov 2014;nan
Democratic Republic of the Congo;;11 Nov 2001 a;nan
Denmark 3;7 Sep 2000;24 Jul 2003;nan
Djibouti;14 Jun 2006;27 Apr 2011;nan
Dominica;;20 Sep 2002 a;nan
Dominican Republic;;6 Dec 2006 a;nan
Ecuador;6 Sep 2000;30 Jan 2004;nan
Egypt;;12 Jul 2002 a;nan
El Salvador;13 Sep 2002;17 May 2004;nan
Equatorial Guinea;;7 Feb 2003 a;nan
Eritrea;;16 Feb 2005 a;nan
Estonia;24 Sep 2003;3 Aug 2004;nan
Eswatini;;24 Sep 2012 a;nan
Ethiopia;;25 Mar 2014 a;nan
Fiji;16 Sep 2005;9 Mar 2021;nan
Finland;7 Sep 2000;1 Jun 2012;nan
France;6 Sep 2000;5 Feb 2003;nan
Gabon;8 Sep 2000;1 Oct 2007;nan
Gambia;21 Dec 2000;8 Apr 2010;nan
Georgia;;28 Jun 2005 a;nan
Germany;6 Sep 2000;15 Jul 2009;nan
Ghana;24 Sep 2003;;nan
Greece;7 Sep 2000;22 Feb 2008;nan
Grenada;;6 Feb 2012 a;nan
Guatemala;7 Sep 2000;9 May 2002;nan
Guinea;;16 Nov 2011 a;nan
Guinea-Bissau;8 Sep 2000;1 Nov 2010;nan
Guyana;;30 Jul 2010 a;nan
Haiti;15 Aug 2002;9 Sep 2014;nan
Holy See;10 Oct 2000;24 Oct 2001;nan
Honduras;;8 May 2002 a;nan
Hungary;11 Mar 2002;24 Feb 2010;nan
Iceland;7 Sep 2000;9 Jul 2001;nan
India;15 Nov 2004;16 Aug 2005;nan
Indonesia;24 Sep 2001;24 Sep 2012;nan
Iran (Islamic Republic of);;26 Sep 2007 a;nan
Iraq;;24 Jun 2008 a;nan
Ireland;7 Sep 2000;;nan
Israel;14 Nov 2001;23 Jul 2008;nan
Italy;6 Sep 2000;9 May 2002;nan
Jamaica;8 Sep 2000;26 Aug 2011;nan
Japan;10 May 2002;24 Jan 2005;nan
Jordan;6 Sep 2000;4 Dec 2006;nan
Kazakhstan;6 Sep 2000;24 Aug 2001;nan
Kenya;8 Sep 2000;;nan
Kiribati;;16 Sep 2015 a;nan
Kuwait;;26 Aug 2004 a;nan
Kyrgyzstan;;12 Feb 2003 a;nan
Lao People's Democratic Republic;;20 Sep 2006 a;nan
Latvia;1 Feb 2002;22 Feb 2006;nan
Lebanon;10 Oct 2001;8 Nov 2004;nan
Lesotho;6 Sep 2000;24 Sep 2003;nan
Liberia;22 Sep 2004;;nan
Libya;;18 Jun 2004 a;nan
Liechtenstein;8 Sep 2000;30 Jan 2013;nan
Lithuania;;5 Aug 2004 a;nan
Luxembourg;8 Sep 2000;2 Sep 2011;nan
Madagascar;7 Sep 2000;22 Sep 2004;nan
Malawi;7 Sep 2000;7 Oct 2009;nan
Malaysia;;12 Apr 2012 a;nan
Maldives;10 May 2002;10 May 2002;nan
Mali;;16 May 2002 a;nan
Malta;7 Sep 2000;28 Sep 2010;nan
Marshall Islands;;29 Jan 2019 a;nan
Mauritania;;23 Apr 2007 a;nan
Mauritius;11 Nov 2001;14 Jun 2011;nan
Mexico;7 Sep 2000;15 Mar 2002;nan
Micronesia (Federated States of);8 May 2002;23 Apr 2012;nan
Monaco;26 Jun 2000;24 Sep 2008;nan
Mongolia;12 Nov 2001;27 Jun 2003;nan
Montenegro 4;;23 Oct 2006 d;nan
Morocco;8 Sep 2000;2 Oct 2001;nan
Mozambique;;6 Mar 2003 a;nan
Myanmar;;16 Jan 2012 a;nan
