Participant;Signature;Ratification, Acceptance(A), Approval(AA), Accession(a), Succession(d);ATTR_ENDPOINT
Afghanistan;;15 Aug 2014 a;nan
Albania;12 Dec 2000;21 Aug 2002;nan
Algeria;6 Jun 2001;9 Mar 2004;nan
Andorra;;21 Sep 2022 a;nan
Angola;;19 Sep 2014 a;nan
Antigua and Barbuda;;17 Feb 2010;nan
Argentina;12 Dec 2000;19 Nov 2002;nan
Armenia;15 Nov 2001;1 Jul 2003;nan
Australia;11 Dec 2002;14 Sep 2005;nan
Austria;12 Dec 2000;15 Sep 2005;nan
Azerbaijan;12 Dec 2000;30 Oct 2003;nan
Bahamas;9 Apr 2001;26 Sep 2008;nan
Bahrain;;7 Jun 2004 a;nan
Bangladesh;;12 Sep 2019 a;nan
Barbados;26 Sep 2001;11 Nov 2014;nan
Belarus;14 Dec 2000;25 Jun 2003;nan
Belgium;12 Dec 2000;11 Aug 2004;nan
Belize;;26 Sep 2003 a;nan
Benin;13 Dec 2000;30 Aug 2004;nan
Bolivia (Plurinational State of);12 Dec 2000;18 May 2006;nan
Bosnia and Herzegovina;12 Dec 2000;24 Apr 2002;nan
Botswana;10 Apr 2002;29 Aug 2002;nan
Brazil;12 Dec 2000;29 Jan 2004;nan
Brunei Darussalam;;30 Mar 2020 a;nan
Bulgaria;13 Dec 2000;5 Dec 2001;nan
Burkina Faso;15 Dec 2000;15 May 2002;nan
Burundi;14 Dec 2000;24 May 2012;nan
Cabo Verde;13 Dec 2000;15 Jul 2004;nan
Cambodia;11 Nov 2001;2 Jul 2007;nan
Cameroon;13 Dec 2000;6 Feb 2006;nan
Canada;14 Dec 2000;13 May 2002;nan
Central African Republic;;6 Oct 2006 a;nan
Chad;;18 Aug 2009 a;nan
Chile;8 Aug 2002;29 Nov 2004;nan
China 1;;8 Feb 2010 a;nan
Colombia;12 Dec 2000;4 Aug 2004;nan
Comoros;;23 Jun 2020 a;nan
Congo;14 Dec 2000;;nan
Costa Rica;16 Mar 2001;9 Sep 2003;nan
Côte d'Ivoire;;25 Oct 2012 a;nan
Croatia;12 Dec 2000;24 Jan 2003;nan
Cuba;;20 Jun 2013 a;nan
Cyprus;12 Dec 2000;6 Aug 2003;nan
Czech Republic;10 Dec 2002;17 Dec 2014;nan
Democratic Republic of the Congo;;28 Oct 2005 a;nan
Denmark 2;12 Dec 2000;30 Sep 2003;nan
Djibouti;;20 Apr 2005 a;nan
Dominica;;17 May 2013 a;nan
Dominican Republic;15 Dec 2000;5 Feb 2008;nan
Ecuador;13 Dec 2000;17 Sep 2002;nan
Egypt;1 May 2002;5 Mar 2004;nan
El Salvador;15 Aug 2002;18 Mar 2004;nan
Equatorial Guinea;14 Dec 2000;7 Feb 2003;nan
Eritrea;;25 Sep 2014 a;nan
Estonia;20 Sep 2002;12 May 2004;nan
Eswatini;8 Jan 2001;24 Sep 2012;nan
Ethiopia;;22 Jun 2012 a;nan
European Union;12 Dec 2000;6 Sep 2006 AA;nan
Fiji;;19 Sep 2017 a;nan
Finland;12 Dec 2000;7 Sep 2006 A;nan
France;12 Dec 2000;29 Oct 2002;nan
Gabon;;22 Sep 2010 a;nan
Gambia;14 Dec 2000;5 May 2003;nan
Georgia;13 Dec 2000;5 Sep 2006;nan
Germany;12 Dec 2000;14 Jun 2006;nan
Ghana;;21 Aug 2012 a;nan
Greece;13 Dec 2000;11 Jan 2011;nan
Grenada;;21 May 2004 a;nan
Guatemala;;1 Apr 2004 a;nan
Guinea;;9 Nov 2004 a;nan
Guinea-Bissau;14 Dec 2000;10 Sep 2007;nan
Guyana;;14 Sep 2004 a;nan
Haiti;13 Dec 2000;19 Apr 2011;nan
Honduras;;1 Apr 2008 a;nan
Hungary;14 Dec 2000;22 Dec 2006;nan
Iceland;13 Dec 2000;22 Jun 2010;nan
India;12 Dec 2002;5 May 2011;nan
Indonesia;12 Dec 2000;28 Sep 2009;nan
Iraq;;9 Feb 2009 a;nan
Ireland;13 Dec 2000;17 Jun 2010;nan
Israel;14 Nov 2001;23 Jul 2008;nan
Italy;12 Dec 2000;2 Aug 2006;nan
Jamaica;13 Feb 2002;29 Sep 2003;nan
Japan;9 Dec 2002;11 Jul 2017 A;nan
Jordan;;11 Jun 2009 a;nan
Kazakhstan;;31 Jul 2008 a;nan
Kenya;;5 Jan 2005 a;nan
Kiribati;;15 Sep 2005 a;nan
Kuwait;;12 May 2006 a;nan
Kyrgyzstan;13 Dec 2000;2 Oct 2003;nan
Lao People's Democratic Republic;;26 Sep 2003 a;nan
Latvia;10 Dec 2002;25 May 2004;nan
Lebanon;9 Dec 2002;5 Oct 2005;nan
Lesotho;14 Dec 2000;24 Sep 2003;nan
Liberia;;22 Sep 2004 a;nan
Libya;13 Nov 2001;24 Sep 2004;nan
Liechtenstein;14 Mar 2001;20 Feb 2008;nan
Lithuania;25 Apr 2002;23 Jun 2003;nan
Luxembourg;13 Dec 2000;20 Apr 2009;nan
Madagascar;14 Dec 2000;15 Sep 2005;nan
Malawi;;17 Mar 2005 a;nan
Malaysia;;26 Feb 2009 a;nan
Maldives;;14 Sep 2016 a;nan
Mali;15 Dec 2000;12 Apr 2002;nan
Malta;14 Dec 2000;24 Sep 2003;nan
Mauritania;;22 Jul 2005 a;nan
Mauritius;;24 Sep 2003 a;nan
Mexico;13 Dec 2000;4 Mar 2003;nan
Micronesia (Federated States of);;2 Nov 2011 a;nan
Monaco;13 Dec 2000;5 Jun 2001;nan
Mongolia;;27 Jun 2008 a;nan
Montenegro 3;;23 Oct 2006 d;nan
Morocco;;25 Apr 2011 a;nan
Mozambique;15 Dec 2000;20 Sep 2006;nan
Myanmar;;30 Mar 2004 a;nan
Namibia;13 Dec 2000;16 Aug 2002;nan
Nauru;12 Nov 2001;12 Jul 2012;nan
Nepal;;16 Jun 2020 a;nan
Netherlands 4;12 Dec 2000;27 Jul 2005 A;nan
New Zealand 5;14 Dec 2000;19 Jul 2002;nan
Nicaragua;;12 Oct 2004 a;nan
Niger;21 Aug 2001;30 Sep 2004;nan
Nigeria;13 Dec 2000;28 Jun 2001;nan
North Macedonia;12 Dec 2000;12 Jan 2005;nan
Norway;13 Dec 2000;23 Sep 2003;nan
Oman;;13 May 2005 a;nan
Pakistan;;4 Nov 2022 a;nan
Palau;;27 May 2019 a;nan
Panama;13 Dec 2000;18 Aug 2004;nan
Paraguay;12 Dec 2000;22 Sep 2004;nan
Peru;14 Dec 2000;23 Jan 2002;nan
Philippines;14 Dec 2000;28 May 2002;nan
Poland;4 Oct 2001;26 Sep 2003;nan
Portugal;12 Dec 2000;10 May 2004;nan
Qatar;;29 May 2009 a;nan
Republic of Korea;13 Dec 2000;5 Nov 2015;nan
Republic of Moldova;14 Dec 2000;16 Sep 2005;nan
Romania;14 Dec 2000;4 Dec 2002;nan
Russian Federation;12 Dec 2000;26 May 2004;nan
Rwanda;14 Dec 2000;26 Sep 2003;nan
San Marino;14 Dec 2000;20 Jul 2010;nan
Sao Tome and Principe;;23 Aug 2006 a;nan
Saudi Arabia;10 Dec 2002;20 Jul 2007;nan
Senegal;13 Dec 2000;27 Oct 2003;nan
Serbia;12 Dec 2000;6 Sep 2001;nan
Seychelles;22 Jul 2002;22 Jun 2004;nan
Sierra Leone;27 Nov 2001;12 Aug 2014;nan
Singapore;;28 Sep 2015 a;nan
Slovakia;15 Nov 2001;21 Sep 2004;nan
Slovenia;15 Nov 2001;21 May 2004;nan
South Africa;14 Dec 2000;20 Feb 2004;nan
Spain;13 Dec 2000;1 Mar 2002;nan
Sri Lanka;13 Dec 2000;15 Jun 2015;nan
St. Kitts and Nevis;;21 May 2004 a;nan
St. Lucia;;16 Jul 2013 a;nan
St. Vincent and the Grenadines;20 Nov 2002;29 Oct 2010;nan
State of Palestine;;29 Dec 2017 a;nan
Sudan;;2 Dec 2014 a;nan
Suriname;;25 May 2007 a;nan
Sweden;12 Dec 2000;1 Jul 2004;nan
Switzerland;2 Apr 2002;27 Oct 2006;nan
Syrian Arab Republic;13 Dec 2000;8 Apr 2009;nan
Tajikistan;;8 Jul 2002 a;nan
Thailand;18 Dec 2001;17 Oct 2013;nan
Timor-Leste;;9 Nov 2009 a;nan
Togo;12 Dec 2000;8 May 2009;nan
Trinidad and Tobago;26 Sep 2001;6 Nov 2007;nan
Tunisia;13 Dec 2000;14 Jul 2003;nan
Türkiye;13 Dec 2000;25 Mar 2003;nan
Turkmenistan;;28 Mar 2005 a;nan
Uganda;12 Dec 2000;;nan
Ukraine 6, 7;15 Nov 2001;21 May 2004;nan
United Arab Emirates;;21 Jan 2009 a;nan
United Kingdom of Great Britain and Northern Ireland;14 Dec 2000;9 Feb 2006;nan
United Republic of Tanzania;13 Dec 2000;24 May 2006;nan
United States of America;13 Dec 2000;3 Nov 2005;nan
Uruguay;13 Dec 2000;4 Mar 2005;nan
Uzbekistan;28 Jun 2001;12 Aug 2008;nan
Venezuela (Bolivarian Republic of);14 Dec 2000;13 May 2002;nan
Viet Nam;;8 Jun 2012 a;nan
Zambia;;24 Apr 2005 a;nan
Zimbabwe;;13 Dec 2013 a;nan
