DATAFLOW;REF_AREA;FREQ;MEASURE;SEX;TIME_PERIOD;OBS_VALUE;OBS_STATUS;UNIT_MEASURE_TYPE;UNIT_MEASURE;UNIT_MULT;SOURCE;NOTE_SOURCE;NOTE_INDICATOR;NOTE_CLASSIF;DECIMALS;UPPER_BOUND;LOWER_BOUND;ATTR_ENDPOINT
ILO:DF_HOW_UEMP_SEX_NB(1.0);AFG;A;HOW_UEMP_NB;SEX_T;2021;43.15;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AFG;A;HOW_UEMP_NB;SEX_M;2021;45.71;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AFG;A;HOW_UEMP_NB;SEX_F;2021;27.27;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AGO;A;HOW_UEMP_NB;SEX_T;2021;43.83;;NB;HR;0;LFS - Employment Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AGO;A;HOW_UEMP_NB;SEX_M;2021;45.22;;NB;HR;0;LFS - Employment Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AGO;A;HOW_UEMP_NB;SEX_F;2021;42.49;;NB;HR;0;LFS - Employment Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);ARM;A;HOW_UEMP_NB;SEX_T;2020;40.42;;NB;HR;0;LFS - Household Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old;Central tendency measure: Mean or mean of the midpoints of the intervals provided | Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);ARM;A;HOW_UEMP_NB;SEX_M;2020;43.1;;NB;HR;0;LFS - Household Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old;Central tendency measure: Mean or mean of the midpoints of the intervals provided | Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);ARM;A;HOW_UEMP_NB;SEX_F;2020;37.43;;NB;HR;0;LFS - Household Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old;Central tendency measure: Mean or mean of the midpoints of the intervals provided | Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);ARM;A;HOW_UEMP_NB;SEX_T;2021;40.33;;NB;HR;0;LFS - Household Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old;Central tendency measure: Mean or mean of the midpoints of the intervals provided | Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);ARM;A;HOW_UEMP_NB;SEX_M;2021;42.84;;NB;HR;0;LFS - Household Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old;Central tendency measure: Mean or mean of the midpoints of the intervals provided | Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);ARM;A;HOW_UEMP_NB;SEX_F;2021;37.5;;NB;HR;0;LFS - Household Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old;Central tendency measure: Mean or mean of the midpoints of the intervals provided | Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUS;A;HOW_UEMP_NB;SEX_T;2020;35.25;;NB;HR;0;HIES - Household, Income and Labour Dynamics Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUS;A;HOW_UEMP_NB;SEX_M;2020;38.74;;NB;HR;0;HIES - Household, Income and Labour Dynamics Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUS;A;HOW_UEMP_NB;SEX_F;2020;31.49;;NB;HR;0;HIES - Household, Income and Labour Dynamics Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUS;A;HOW_UEMP_NB;SEX_T;2021;35.71;;NB;HR;0;HIES - Household, Income and Labour Dynamics Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUS;A;HOW_UEMP_NB;SEX_M;2021;39.1;;NB;HR;0;HIES - Household, Income and Labour Dynamics Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUS;A;HOW_UEMP_NB;SEX_F;2021;31.98;;NB;HR;0;HIES - Household, Income and Labour Dynamics Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
