Dataflow;STAT_UNIT;UNIT_MEASURE;EDU_LEVEL;EDU_CAT;SEX;AGE;GRADE;SECTOR_EDU;EDU_ATTAIN;WEALTH_QUINTILE;LOCATION;EDU_TYPE;EDU_FIELD;SUBJECT;INFRASTR;SE_BKGRD;TEACH_EXPERIENCE;CONTRACT_TYPE;COUNTRY_ORIGIN;REGION_DEST;IMM_STATUS;REF_AREA;TIME_PERIOD;OBS_VALUE;UNIT_MULT;OBS_STATUS;FREQ;DECIMALS;ATTR_ENDPOINT
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2010;85.29518;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2011;85.10507;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2012;80.79339;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2013;24.72247;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2014;27.66302;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2015;25.87369;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2016;25.63116;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AE;2017;25.8282;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AG;2010;46.84819;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:EDU_NON_FINANCE(3.0);GECER;PT;L02;_T;_T;_T;_T;INST_T;_Z;_Z;_T;_T;_T;_Z;_Z;_Z;_Z;_Z;W00;W00;_Z;AG;2011;46.01737;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,EDU_NON_FINANCE,3.0/GECER.PT.L02._T._T+F+M._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z.?startPeriod=2010&endPeriod=2020&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
