DATAFLOW;REF_AREA;FREQ;MEASURE;TIME_PERIOD;OBS_VALUE;OBS_STATUS;UNIT_MEASURE_TYPE;UNIT_MEASURE;UNIT_MULT;SOURCE;NOTE_SOURCE;NOTE_INDICATOR;NOTE_CLASSIF;DECIMALS;UPPER_BOUND;LOWER_BOUND;ATTR_ENDPOINT
ILO:DF_SDG_0552_NOC_RT(1.0);AFG;A;SDG_0552_RT;2020;5.9;U;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);AFG;A;SDG_0552_RT;2021;;U;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);AFG;A;SDG_0552_RT;2014;6.9;U;RT;PT;0;HIES - Households Living Conditions Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);AFG;A;SDG_0552_RT;2017;4.3;U;RT;PT;0;HIES - Households Living Conditions Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);AGO;A;SDG_0552_RT;2019;10.9;B;RT;PT;0;LFS - Employment Survey;Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);AGO;A;SDG_0552_RT;2021;11.0;;RT;PT;0;LFS - Employment Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);AGO;A;SDG_0552_RT;2014;18.2;;RT;PT;0;PC - Recensements de Population;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2012;14.7;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2013;29.3;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2014;20.6;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2015;19.3;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2016;24.0;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2017;22.6;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2018;31.6;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ALB;A;SDG_0552_RT;2019;41.3;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARE;A;SDG_0552_RT;2017;12.2;B;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARE;A;SDG_0552_RT;2018;15.7;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARE;A;SDG_0552_RT;2020;17.7;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARE;A;SDG_0552_RT;2021;23.6;;RT;PT;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARG;A;SDG_0552_RT;2012;32.3;;RT;PT;0;LFS - Encuesta Permanente de Hogares, Urbano;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas;Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARG;A;SDG_0552_RT;2013;36.5;;RT;PT;0;LFS - Encuesta Permanente de Hogares, Urbano;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas;Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARG;A;SDG_0552_RT;2014;38.6;;RT;PT;0;LFS - Encuesta Permanente de Hogares, Urbano;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas;Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARG;A;SDG_0552_RT;2017;32.6;;RT;PT;0;LFS - Encuesta Permanente de Hogares, Urbano;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARG;A;SDG_0552_RT;2018;33.2;;RT;PT;0;LFS - Encuesta Permanente de Hogares, Urbano;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARG;A;SDG_0552_RT;2019;33.1;;RT;PT;0;LFS - Encuesta Permanente de Hogares, Urbano;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
ILO:DF_SDG_0552_NOC_RT(1.0);ARG;A;SDG_0552_RT;2020;37.0;;RT;PT;0;LFS - Encuesta Permanente de Hogares, Urbano;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas;;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_SDG_0552_NOC_RT/?format=csv&startPeriod=2012-01-01&endPeriod=2023-12-31
