goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Age;dimensions.Sex;dimensions.Reporting Type;ATTR_ENDPOINT
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;4;Afghanistan;2003.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;4;Afghanistan;2004.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;4;Afghanistan;2005.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;4;Afghanistan;2006.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;4;Afghanistan;2007.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;4;Afghanistan;2008.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;8;Albania;2008.0;108;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;8;Albania;2009.0;94;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;8;Albania;2010.0;97;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;8;Albania;2011.0;84;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;8;Albania;2012.0;92;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;8;Albania;2013.0;95;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;12;Algeria;2014.0;1;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;12;Algeria;2015.0;2;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;12;Algeria;2016.0;32;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;12;Algeria;2017.0;28;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2003.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2004.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2005.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2006.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2007.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2008.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2009.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2010.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2011.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2012.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2013.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2014.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2015.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2016.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
['16'];['16.2'];['16.2.2'];VC_HTF_DETV;Detected victims of human trafficking, by age and sex (number);998;20;Andorra;2017.0;0;Float;;;;;;GLOTIP Database;;['Data in reference to one country but derived from different types of sources should not be compared between them.\n'];C;NUMBER;ALLAGE;BOTHSEX;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=VC_HTF_DETV&pageSize=999999999
