country;RAW_OBS_VALUE;ATTR_ENDPOINT
Afghanistan;2.0;nan
Albania;1.0;nan
Algeria;2.0;nan
Andorra;3.0;nan
Angola;2.0;nan
Antigua and Barbuda;1.0;nan
Argentina;2.0;nan
Armenia;5.0;nan
Australia;5.0;nan
Austria;5.0;nan
Azerbaijan;5.0;nan
Bahamas;1.0;nan
Bahrain;2.0;nan
Bangladesh;1.0;nan
Barbados;1.0;nan
Belarus;5.0;nan
Belgium;5.0;nan
Belize;1.0;nan
Benin;2.0;nan
Bhutan;2.0;nan
Bolivia;2.0;nan
Bosnia and Herzegovina;2.0;nan
Botswana;1.0;nan
Brazil;2.0;nan
Brunei;1.0;nan
Bulgaria;5.0;nan
Burkina Faso;1.0;nan
Burundi;2.0;nan
Cambodia;1.0;nan
Cameroon;1.0;nan
Canada;5.0;nan
Cape Verde;2.0;nan
Central African Republic;1.0;nan
Chad;2.0;nan
Chile;3.0;nan
China;1.0;nan
Colombia;2.0;nan
Comoros;1.0;nan
Costa Rica;1.0;nan
Cote d'Ivoire;1.0;nan
Croatia;5.0;nan
Cuba;5.0;nan
Cyprus;1.0;nan
Czech Republic;5.0;nan
Democratic People's Republic of Korea;1.0;nan
Democratic Republic of the Congo;2.0;nan
Denmark;5.0;nan
Djibouti;2.0;nan
Dominica;1.0;nan
Dominican Republic;2.0;nan
Ecuador;2.0;nan
Egypt;1.0;nan
El Salvador;2.0;nan
Equatorial Guinea;2.0;nan
Eritrea;1.0;nan
Estonia;5.0;nan
Eswatini;1.0;nan
Ethiopia;1.0;nan
Fiji;1.0;nan
Finland;5.0;nan
France;5.0;nan
Gabon;1.0;nan
Georgia;1.0;nan
Germany;5.0;nan
Ghana;1.0;nan
Greece;2.0;nan
Grenada;1.0;nan
Guatemala;2.0;nan
Guinea;1.0;nan
Guinea-Bissau;1.0;nan
Guyana;1.0;nan
Haiti;1.0;nan
Honduras;1.0;nan
Hungary;5.0;nan
Iceland;5.0;nan
India;1.0;nan
Indonesia;2.0;nan
Iran;1.0;nan
Iraq;1.0;nan
Ireland;2.0;nan
Israel;3.0;nan
Italy;5.0;nan
Jamaica;1.0;nan
Japan;5.0;nan
Jordan;1.0;nan
Kazakhstan;1.0;nan
Kenya;2.0;nan
Kiribati;1.0;nan
Kuwait;1.0;nan
Kyrgyzstan;1.0;nan
Latvia;5.0;nan
Lebanon;1.0;nan
Lesotho;1.0;nan
Liberia;1.0;nan
Libya;1.0;nan
Liechtenstein;1.0;nan
Lithuania;5.0;nan
Luxembourg;5.0;nan
Madagascar;1.0;nan
Malawi;1.0;nan
Malaysia;1.0;nan
Maldives;2.0;nan
Mali;2.0;nan
Malta;2.0;nan
Marshall Islands;1.0;nan
Mauritania;2.0;nan
Mauritius;2.0;nan
Mexico;2.0;nan
Micronesia, Federated States of;1.0;nan
Moldova;5.0;nan
Monaco;2.0;nan
Mongolia;5.0;nan
Montenegro;5.0;nan
Morocco;2.0;nan
Mozambique;2.0;nan
Myanmar;2.0;nan
Namibia;1.0;nan
Nauru;1.0;nan
Nepal;1.0;nan
New Zealand;5.0;nan
Nicaragua;1.0;nan
Niger;1.0;nan
Nigeria;1.0;nan
North Macedonia;2.0;nan
Norway;5.0;nan
Oman;1.0;nan
Pakistan;1.0;nan
Palau;1.0;nan
Panama;1.0;nan
Papua New Guinea;1.0;nan
Paraguay;2.0;nan
Peru;2.0;nan
Poland;5.0;nan
Portugal;5.0;nan
Qatar;1.0;nan
Republic of Korea;5.0;nan
Republic of the Congo;1.0;nan
Romania;5.0;nan
Russian Federation;5.0;nan
Rwanda;2.0;nan
Samoa;2.0;nan
San Marino;5.0;nan
Sao Tome and Principe;1.0;nan
Saudi Arabia;2.0;nan
Senegal;1.0;nan
Serbia;5.0;nan
Seychelles;1.0;nan
Sierra Leone;1.0;nan
Singapore;2.0;nan
Slovakia;5.0;nan
Slovenia;5.0;nan
Solomon Islands;1.0;nan
Somalia;1.0;nan
South Africa;2.0;nan
South Sudan;1.0;nan
Spain;3.0;nan
Sri Lanka;1.0;nan
St. Kitts and Nevis;1.0;nan
St. Lucia;1.0;nan
St. Vincent and the Grenadines;1.0;nan
Sudan;1.0;nan
Suriname;1.0;nan
Sweden;5.0;nan
Switzerland;1.0;nan
Syria;1.0;nan
Tajikistan;5.0;nan
Tanzania;2.0;nan
Thailand;1.0;nan
The Gambia;2.0;nan
The Netherlands;2.0;nan
The Philippines;2.0;nan
Timor-Leste;2.0;nan
Togo;2.0;nan
Tonga;1.0;nan
Trinidad and Tobago;1.0;nan
Tunisia;2.0;nan
Türkiye;2.0;nan
Turkmenistan;5.0;nan
Tuvalu;1.0;nan
Uganda;2.0;nan
Ukraine;5.0;nan
United Arab Emirates;1.0;nan
United Kingdom;5.0;nan
United States of America;1.0;nan
Uruguay;2.0;nan
Uzbekistan;5.0;nan
Vanuatu;1.0;nan
Venezuela;2.0;nan
Vietnam;2.0;nan
Yemen;1.0;nan
Zambia;1.0;nan
Zimbabwe;1.0;nan
