goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Sex;dimensions.Reporting Type;ATTR_ENDPOINT
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;4;Afghanistan;2020.0;1.7;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;12;Algeria;2016.0;11.2;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;660;Anguilla;2020.0;73.3;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;28;Antigua and Barbuda;2016.0;40;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;28;Antigua and Barbuda;2020.0;37;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;32;Argentina;2016.0;34;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;32;Argentina;2020.0;31.7;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;51;Armenia;2016.0;61;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;51;Armenia;2020.0;61.6;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;533;Aruba;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;533;Aruba;2020.0;82.5;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;142;Asia;2016.0;33.2;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;36;Australia;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
