Participant;Signature;Ratification, Acceptance(A), Approval(AA), Formal confirmation(c), Accession(a), Succession(d);ATTR_ENDPOINT
Afghanistan;29 Jun 2004;13 Aug 2010;nan
Albania;29 Jun 2004;26 Apr 2006;nan
Algeria;20 Jun 2003;30 Jun 2006;nan
Andorra;;11 May 2020 a;nan
Angola;29 Jun 2004;20 Sep 2007;nan
Antigua and Barbuda;28 Jun 2004;5 Jun 2006;nan
Argentina;25 Sep 2003;;nan
Armenia;;29 Nov 2004 a;nan
Australia 1;5 Dec 2003;27 Oct 2004;nan
Austria;28 Aug 2003;15 Sep 2005;nan
Azerbaijan;;1 Nov 2005 a;nan
Bahamas;29 Jun 2004;3 Nov 2009;nan
Bahrain;;20 Mar 2007 a;nan
Bangladesh;16 Jun 2003;14 Jun 2004;nan
Barbados;28 Jun 2004;3 Nov 2005;nan
Belarus;17 Jun 2004;8 Sep 2005;nan
Belgium;22 Jan 2004;1 Nov 2005;nan
Belize;26 Sep 2003;15 Dec 2005;nan
Benin;18 Jun 2004;3 Nov 2005;nan
Bhutan;9 Dec 2003;23 Aug 2004;nan
Bolivia (Plurinational State of);27 Feb 2004;15 Sep 2005;nan
Bosnia and Herzegovina;;10 Jul 2009 a;nan
Botswana;16 Jun 2003;31 Jan 2005;nan
Brazil;16 Jun 2003;3 Nov 2005;nan
Brunei Darussalam;3 Jun 2004;3 Jun 2004;nan
Bulgaria;22 Dec 2003;7 Nov 2005;nan
Burkina Faso;22 Dec 2003;31 Jul 2006;nan
Burundi;16 Jun 2003;22 Nov 2005;nan
Cabo Verde;17 Feb 2004;4 Oct 2005;nan
Cambodia;25 May 2004;15 Nov 2005;nan
Cameroon;13 May 2004;3 Feb 2006;nan
Canada;15 Jul 2003;26 Nov 2004;nan
Central African Republic;29 Dec 2003;7 Nov 2005;nan
Chad;22 Jun 2004;30 Jan 2006;nan
Chile;25 Sep 2003;13 Jun 2005;nan
China 2;10 Nov 2003;11 Oct 2005;nan
Colombia;;10 Apr 2008 a;nan
Comoros;27 Feb 2004;24 Jan 2006;nan
Congo;23 Mar 2004;6 Feb 2007;nan
Cook Islands;14 May 2004;14 May 2004;nan
Costa Rica;3 Jul 2003;21 Aug 2008;nan
Côte d'Ivoire;24 Jul 2003;13 Aug 2010;nan
Croatia;2 Jun 2004;14 Jul 2008;nan
Cuba;29 Jun 2004;;nan
Cyprus;24 May 2004;26 Oct 2005;nan
Czech Republic;16 Jun 2003;1 Jun 2012;nan
