GHO;DATASOURCE;PUBLISHSTATE;YEAR;REGION;COUNTRY;SEX;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SA_0000001786;SA_0000001786_CHL;PUBLISHED;2013;AMR;CHL;MLE;24.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_COK;PUBLISHED;2010;WPR;COK;BTSX;29.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_IDN;PUBLISHED;2015;SEAR;IDN;FMLE;1.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_JAM;PUBLISHED;2017;AMR;JAM;MLE;54.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LBN;PUBLISHED;2017;EMR;LBN;FMLE;14.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LBR;PUBLISHED;2017;AFR;LBR;MLE;16.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SYC;PUBLISHED;2015;AFR;SYC;BTSX;47.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SYC;PUBLISHED;2015;AFR;SYC;FMLE;49.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LKA;PUBLISHED;2016;SEAR;LKA;MLE;3.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SUR;PUBLISHED;2016;AMR;SUR;BTSX;36.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TZA;PUBLISHED;2014;AFR;TZA;FMLE;3.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_VUT;PUBLISHED;2016;WPR;VUT;MLE;15.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_ATG;PUBLISHED;2009;AMR;ATG;MLE;43.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BLZ;PUBLISHED;2011;AMR;BLZ;FMLE;26.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BEN;PUBLISHED;2009;AFR;BEN;MLE;18.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BOL;PUBLISHED;2012;AMR;BOL;BTSX;15.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KHM;PUBLISHED;2013;WPR;KHM;MLE;7.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_FJI;PUBLISHED;2010;WPR;FJI;BTSX;16.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_FJI;PUBLISHED;2010;WPR;FJI;FMLE;11.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GUY;PUBLISHED;2010;AMR;GUY;MLE;44.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KIR;PUBLISHED;2011;WPR;KIR;MLE;43.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MAR;PUBLISHED;2006;EMR;MAR;FMLE;1.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MMR;PUBLISHED;2007;SEAR;MMR;MLE;1.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PER;PUBLISHED;2010;AMR;PER;FMLE;26.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PHL;PUBLISHED;2011;WPR;PHL;BTSX;18.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SEN;PUBLISHED;2005;AFR;SEN;MLE;4.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SYC;PUBLISHED;2007;AFR;SYC;BTSX;61.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TJK;PUBLISHED;2006;EUR;TJK;BTSX;0.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TJK;PUBLISHED;2006;EUR;TJK;FMLE;0.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TTO;PUBLISHED;2011;AMR;TTO;FMLE;34.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_UGA;PUBLISHED;2003;AFR;UGA;MLE;14.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_ZMB;PUBLISHED;2004;AFR;ZMB;MLE;38.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_ARG;PUBLISHED;2007;AMR;ARG;BTSX;51.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BEN;PUBLISHED;2016;AFR;BEN;BTSX;39.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BGD;PUBLISHED;2014;SEAR;BGD;MLE;2.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LBN;PUBLISHED;2005;EMR;LBN;FMLE;12.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LBN;PUBLISHED;2005;EMR;LBN;BTSX;19.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GHA;PUBLISHED;2007;AFR;GHA;MLE;26.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TTO;PUBLISHED;2011;AMR;TTO;BTSX;36.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_THA;PUBLISHED;2008;SEAR;THA;BTSX;15.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MKD;PUBLISHED;2007;EUR;MKD;MLE;40.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_WSM;PUBLISHED;2011;WPR;WSM;FMLE;25.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_WSM;PUBLISHED;2011;WPR;WSM;BTSX;34.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LCA;PUBLISHED;2007;AMR;LCA;MLE;59.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PHL;PUBLISHED;2011;WPR;PHL;FMLE;15.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MAR;PUBLISHED;2006;EMR;MAR;BTSX;3.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MUS;PUBLISHED;2011;AFR;MUS;MLE;28.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KEN;PUBLISHED;2003;AFR;KEN;FMLE;12.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KEN;PUBLISHED;2003;AFR;KEN;BTSX;14.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_HND;PUBLISHED;2012;AMR;HND;FMLE;18.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_HND;PUBLISHED;2012;AMR;HND;BTSX;15.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SLV;PUBLISHED;2013;AMR;SLV;MLE;19.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_DMA;PUBLISHED;2009;AMR;DMA;FMLE;54.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_CRI;PUBLISHED;2009;AMR;CRI;BTSX;23.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_COK;PUBLISHED;2011;WPR;COK;MLE;29.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BLZ;PUBLISHED;2011;AMR;BLZ;BTSX;27.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BRB;PUBLISHED;2011;AMR;BRB;MLE;48.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MUS;PUBLISHED;2007;AFR;MUS;MLE;19.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MNG;PUBLISHED;2010;WPR;MNG;BTSX;5.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BHS;PUBLISHED;2013;AMR;BHS;BTSX;28.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BHS;PUBLISHED;2013;AMR;BHS;FMLE;27.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_COK;PUBLISHED;2010;WPR;COK;FMLE;28.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_COK;PUBLISHED;2015;WPR;COK;MLE;29.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GTM;PUBLISHED;2015;AMR;GTM;MLE;18.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_IDN;PUBLISHED;2015;SEAR;IDN;BTSX;3.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MUS;PUBLISHED;2017;AFR;MUS;BTSX;21.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MUS;PUBLISHED;2017;AFR;MUS;FMLE;21.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PRY;PUBLISHED;2017;AMR;PRY;FMLE;30.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PHL;PUBLISHED;2015;WPR;PHL;MLE;20.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SUR;PUBLISHED;2016;AMR;SUR;FMLE;35.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_THA;PUBLISHED;2015;SEAR;THA;MLE;20.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TLS;PUBLISHED;2015;SEAR;TLS;BTSX;12.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TUV;PUBLISHED;2013;WPR;TUV;MLE;22.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TZA;PUBLISHED;2014;AFR;TZA;BTSX;3.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_ATG;PUBLISHED;2009;AMR;ATG;BTSX;45.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BEN;PUBLISHED;2009;AFR;BEN;BTSX;16.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BEN;PUBLISHED;2009;AFR;BEN;FMLE;12.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KHM;PUBLISHED;2013;WPR;KHM;FMLE;3.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_FJI;PUBLISHED;2010;WPR;FJI;MLE;22.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GUY;PUBLISHED;2010;AMR;GUY;BTSX;39.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GUY;PUBLISHED;2010;AMR;GUY;FMLE;34.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KIR;PUBLISHED;2011;WPR;KIR;BTSX;30.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_KIR;PUBLISHED;2011;WPR;KIR;FMLE;19.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MDV;PUBLISHED;2009;SEAR;MDV;FMLE;2.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MAR;PUBLISHED;2006;EMR;MAR;MLE;5.5;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MMR;PUBLISHED;2007;SEAR;MMR;BTSX;0.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SEN;PUBLISHED;2005;AFR;SEN;FMLE;2.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_SYC;PUBLISHED;2007;AFR;SYC;MLE;62.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_TJK;PUBLISHED;2006;EUR;TJK;MLE;1.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MKD;PUBLISHED;2007;EUR;MKD;BTSX;35.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_UGA;PUBLISHED;2003;AFR;UGA;BTSX;12.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_UGA;PUBLISHED;2003;AFR;UGA;FMLE;11.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_ZMB;PUBLISHED;2004;AFR;ZMB;BTSX;42.3;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_ZMB;PUBLISHED;2004;AFR;ZMB;FMLE;45.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MUS;PUBLISHED;2007;AFR;MUS;FMLE;16.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MNG;PUBLISHED;2010;WPR;MNG;MLE;6.6;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BHS;PUBLISHED;2013;AMR;BHS;MLE;29.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_BGD;PUBLISHED;2014;SEAR;BGD;BTSX;1.4;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_COK;PUBLISHED;2015;WPR;COK;BTSX;25.9;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_COK;PUBLISHED;2015;WPR;COK;FMLE;23.0;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GTM;PUBLISHED;2015;AMR;GTM;BTSX;16.8;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_GTM;PUBLISHED;2015;AMR;GTM;FMLE;15.1;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_LBR;PUBLISHED;2017;AFR;LBR;FMLE;11.7;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_MUS;PUBLISHED;2017;AFR;MUS;MLE;20.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
SA_0000001786;SA_0000001786_PRY;PUBLISHED;2017;AMR;PRY;MLE;26.2;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001786.csv
