country;RAW_OBS_VALUE;ATTR_ENDPOINT
Afghanistan;5.0;nan
Albania;5.0;nan
Algeria;3.0;nan
Andorra;4.0;nan
Angola;4.0;nan
Antigua and Barbuda;1.0;nan
Argentina;4.0;nan
Armenia;4.0;nan
Australia;3.0;nan
Austria;3.0;nan
Azerbaijan;4.0;nan
Bahamas;1.0;nan
Bahrain;5.0;nan
Bangladesh;2.0;nan
Barbados;5.0;nan
Belarus;4.0;nan
Belgium;5.0;nan
Belize;2.0;nan
Benin;2.0;nan
Bhutan;3.0;nan
Bolivia;2.0;nan
Bosnia and Herzegovina;5.0;nan
Botswana;4.0;nan
Brazil;5.0;nan
Brunei;4.0;nan
Bulgaria;5.0;nan
Burkina Faso;3.0;nan
Burundi;2.0;nan
Cambodia;2.0;nan
Cameroon;4.0;nan
Canada;1.0;nan
Cabo Verde;1.0;nan
Central African Republic;2.0;nan
Chad;2.0;nan
Chile;5.0;nan
China;5.0;nan
Colombia;5.0;nan
Comoros;1.0;nan
Democratic Republic of the Congo;5.0;nan
Republic of the Congo;5.0;nan
Costa Rica;5.0;nan
Cote d'Ivoire;5.0;nan
Croatia;5.0;nan
Cuba;5.0;nan
Cyprus;5.0;nan
Czech Republic;5.0;nan
Denmark;3.0;nan
Djibouti;5.0;nan
Dominica;1.0;nan
Dominican Republic;1.0;nan
Ecuador;5.0;nan
Egypt;2.0;nan
El Salvador;2.0;nan
Equatorial Guinea;5.0;nan
Eritrea;4.0;nan
Estonia;3.0;nan
Ethiopia;4.0;nan
Fiji;3.0;nan
Finland;4.0;nan
France;4.0;nan
Gabon;5.0;nan
The Gambia;5.0;nan
Georgia;4.0;nan
Germany;3.0;nan
Ghana;3.0;nan
Greece;1.0;nan
Grenada;5.0;nan
Guatemala;4.0;nan
Guinea;2.0;nan
Guinea-Bissau;4.0;nan
Guyana;5.0;nan
Haiti;5.0;nan
Honduras;4.0;nan
Hungary;5.0;nan
Iceland;3.0;nan
India;4.0;nan
Indonesia;3.0;nan
Iran;5.0;nan
Iraq;5.0;nan
Ireland;4.0;nan
Israel;4.0;nan
Italy;3.0;nan
Jamaica;3.0;nan
Japan;3.0;nan
Jordan;5.0;nan
Kazakhstan;4.0;nan
Kenya;3.0;nan
Kiribati;2.0;nan
Democratic People's Republic of Korea;5.0;nan
Republic of Korea;5.0;nan
Kuwait;5.0;nan
Kyrgyzstan;4.0;nan
Laos;2.0;nan
Latvia;3.0;nan
Lebanon;4.0;nan
Lesotho;3.0;nan
Liberia;3.0;nan
Libya;5.0;nan
Liechtenstein;4.0;nan
Lithuania;5.0;nan
Luxembourg;1.0;nan
North Macedonia;5.0;nan
Madagascar;5.0;nan
Malawi;4.0;nan
Malaysia;1.0;nan
Maldives;5.0;nan
Mali;2.0;nan
Malta;4.0;nan
Mauritania;2.0;nan
Mauritius;5.0;nan
Mexico;5.0;nan
Moldova;5.0;nan
Mongolia;5.0;nan
Montenegro;5.0;nan
Morocco;5.0;nan
Mozambique;5.0;nan
Myanmar;5.0;nan
Namibia;4.0;nan
Nepal;4.0;nan
The Netherlands;3.0;nan
New Zealand;1.0;nan
Nicaragua;5.0;nan
Niger;4.0;nan
Nigeria;1.0;nan
Norway;3.0;nan
Oman;1.0;nan
Panama;2.0;nan
Papua New Guinea;5.0;nan
Paraguay;4.0;nan
Peru;2.0;nan
The Philippines;1.0;nan
Poland;5.0;nan
Portugal;1.0;nan
Qatar;5.0;nan
Romania;5.0;nan
Russian Federation;4.0;nan
Rwanda;5.0;nan
Samoa;1.0;nan
Sao Tome and Principe;4.0;nan
Saudi Arabia;3.0;nan
Senegal;2.0;nan
Serbia;5.0;nan
Seychelles;2.0;nan
Sierra Leone;3.0;nan
Singapore;3.0;nan
Slovakia;1.0;nan
Slovenia;3.0;nan
Solomon Islands;1.0;nan
Somalia;5.0;nan
South Africa;5.0;nan
South Sudan;2.0;nan
Spain;5.0;nan
Sri Lanka;1.0;nan
St. Lucia;3.0;nan
St. Vincent and the Grenadines;1.0;nan
Sudan;4.0;nan
Suriname;4.0;nan
Eswatini;5.0;nan
Sweden;3.0;nan
Switzerland;3.0;nan
Syria;3.0;nan
Tajikistan;4.0;nan
Tanzania;4.0;nan
Thailand;5.0;nan
Timor-Leste;3.0;nan
Togo;5.0;nan
Trinidad and Tobago;5.0;nan
Tunisia;3.0;nan
Turkey;4.0;nan
Turkmenistan;1.0;nan
Tuvalu;4.0;nan
Uganda;2.0;nan
Ukraine;4.0;nan
United Arab Emirates;5.0;nan
United Kingdom;4.0;nan
United States of America;4.0;nan
Uruguay;3.0;nan
Uzbekistan;5.0;nan
Vanuatu;2.0;nan
Venezuela;4.0;nan
Vietnam;3.0;nan
Yemen;5.0;nan
Zambia;3.0;nan
Zimbabwe;5.0;nan
