GHO;PUBLISHSTATE;YEAR;REGION;WORLDBANKINCOMEGROUP;COUNTRY;SEX;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SDGPOISON;PUBLISHED;2011;EMR;;AFG;MLE;0.5 [0.2-1.1];0.53958;0.21708;1.1433;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2004;EMR;;AFG;BTSX;2.4 [1.0-5.1];2.43996;0.95454;5.08542;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2010;EMR;;AFG;MLE;0.6 [0.2-1.2];0.58775;0.23687;1.24174;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2005;EMR;;AFG;FMLE;3.8 [1.6-7.8];3.81916;1.55065;7.84038;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2003;EMR;;AFG;MLE;0.9 [0.3-1.9];0.9002;0.34152;1.91334;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2013;EMR;;AFG;BTSX;1.5 [0.6-3.0];1.45651;0.59085;2.97011;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2005;EMR;;AFG;BTSX;2.3 [0.9-4.7];2.26021;0.9087;4.65819;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2009;EMR;;AFG;MLE;0.6 [0.2-1.3];0.6175;0.24895;1.30127;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2008;EMR;;AFG;MLE;0.7 [0.3-1.4];0.6514;0.26049;1.3622;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2018;EMR;;AFG;FMLE;1.6 [0.7-3.2];1.63855;0.7026;3.19248;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2019;EMR;;AFG;MLE;0.3 [0.1-0.6];0.29637;0.12364;0.62128;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2006;EMR;;AFG;MLE;0.7 [0.3-1.4];0.67077;0.26601;1.39743;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2000;EMR;;AFG;BTSX;2.1 [0.8-4.4];2.10201;0.78648;4.43885;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2009;EMR;;AFG;BTSX;1.8 [0.7-3.7];1.79878;0.7422;3.67699;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2012;EMR;;AFG;MLE;0.5 [0.2-1.0];0.48115;0.19256;1.00479;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2002;EMR;;AFG;FMLE;3.9 [1.5-8.3];3.88567;1.45052;8.2591;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2013;EMR;;AFG;FMLE;2.5 [1.0-5.0];2.49326;1.01499;5.04733;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2008;EMR;;AFG;BTSX;1.9 [0.8-3.8];1.88593;0.77153;3.8407;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2016;EMR;;AFG;FMLE;1.7 [0.7-3.3];1.71301;0.73396;3.34327;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2001;EMR;;AFG;BTSX;2.0 [0.7-4.2];1.97755;0.74753;4.1551;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2018;EMR;;AFG;BTSX;0.9 [0.4-1.8];0.9377;0.40189;1.83949;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2011;EMR;;AFG;BTSX;1.6 [0.7-3.3];1.61863;0.66027;3.32904;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2013;EMR;;AFG;MLE;0.5 [0.2-1.0];0.4723;0.1882;0.99816;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
SDGPOISON;PUBLISHED;2014;EMR;;AFG;MLE;0.4 [0.2-0.8];0.38319;0.15485;0.82042;;;;http://apps.who.int/gho/athena/api/GHO/SDGPOISON.csv
