COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BS;BHS;BHS;nan
