,COUNTRY_ISO_3,TIME_PERIOD,population
0,AFG,2013,31541.2085
1,AFG,2014,32716.21
2,AFG,2015,33753.499
3,AFG,2016,34636.2075
4,AFG,2017,35643.4175
5,AFG,2018,36686.784
6,AFG,2019,37769.4985
7,AFG,2020,38972.2305
8,AFG,2021,40099.462
9,AFG,2022,41128.771
10,AFG,2023,42239.854
11,ALB,2013,2887.014
12,ALB,2014,2884.102
13,ALB,2015,2882.4805
14,ALB,2016,2881.063
15,ALB,2017,2879.355
16,ALB,2018,2877.013
17,ALB,2019,2873.8835
18,ALB,2020,2866.8485
19,ALB,2021,2854.71
20,ALB,2022,2842.321
21,ALB,2023,2832.439
22,DZA,2013,38000.6265
23,DZA,2014,38760.1675
24,DZA,2015,39543.1545
25,DZA,2016,40339.3285
26,DZA,2017,41136.546
27,DZA,2018,41927.007
28,DZA,2019,42705.3685
29,DZA,2020,43451.666
30,DZA,2021,44177.9685
31,DZA,2022,44903.225
32,DZA,2023,45606.4805
33,AND,2013,71.3665
34,AND,2014,71.6215
35,AND,2015,71.7455
36,AND,2016,72.5405
37,AND,2017,73.8365
38,AND,2018,75.0135
39,AND,2019,76.343
40,AND,2020,77.7
41,AND,2021,79.034
42,AND,2022,79.824
43,AND,2023,80.088
44,AGO,2013,26147.002
45,AGO,2014,27128.3365
46,AGO,2015,28127.721
47,AGO,2016,29154.7455
48,AGO,2017,30208.628
49,AGO,2018,31273.533
50,AGO,2019,32353.588
51,AGO,2020,33428.486
52,AGO,2021,34503.7735
53,AGO,2022,35588.987
54,AGO,2023,36684.2025
55,ATG,2013,88.497
56,ATG,2014,89.236
57,ATG,2015,89.9405
58,ATG,2016,90.5645
59,ATG,2017,91.119
60,ATG,2018,91.6255
61,ATG,2019,92.1165
62,ATG,2020,92.664
63,ATG,2021,93.2195
64,ATG,2022,93.763
65,ATG,2023,94.298
66,ARG,2013,42388.269
67,ARG,2014,42824.0535
68,ARG,2015,43257.0655
69,ARG,2016,43668.2415
70,ARG,2017,44054.616
71,ARG,2018,44413.596
72,ARG,2019,44745.52
73,ARG,2020,45036.032
74,ARG,2021,45276.78
75,ARG,2022,45510.318
76,ARG,2023,45773.884
77,ARM,2013,2901.3845
78,ARM,2014,2889.9295
79,ARM,2015,2878.5945
80,ARM,2016,2865.835
81,ARM,2017,2851.923
82,ARM,2018,2836.557
83,ARM,2019,2820.6015
84,ARM,2020,2805.6085
85,ARM,2021,2790.9735
86,ARM,2022,2780.469
87,ARM,2023,2777.9705
88,AUS,2013,23111.7815
89,AUS,2014,23469.5795
90,AUS,2015,23820.2365
91,AUS,2016,24195.7015
92,AUS,2017,24590.3335
93,AUS,2018,24979.23
94,AUS,2019,25357.17
95,AUS,2020,25670.0505
96,AUS,2021,25921.089
97,AUS,2022,26177.4135
98,AUS,2023,26439.1115
99,AUT,2013,8479.539
100,AUT,2014,8546.0655
101,AUT,2015,8642.421
102,AUT,2016,8736.4865
103,AUT,2017,8797.496
104,AUT,2018,8840.5125
105,AUT,2019,8879.9395
106,AUT,2020,8907.777
107,AUT,2021,8922.082
108,AUT,2022,8939.617
109,AUT,2023,8958.9605
110,AZE,2013,9614.4785
111,AZE,2014,9741.8805
112,AZE,2015,9863.48
113,AZE,2016,9976.248
114,AZE,2017,10071.567
115,AZE,2018,10152.5215
116,AZE,2019,10232.753
117,AZE,2020,10284.951
118,AZE,2021,10312.992
119,AZE,2022,10358.074
120,AZE,2023,10412.6515
121,BHS,2013,385.65
122,BHS,2014,389.131
123,BHS,2015,392.6975
124,BHS,2016,395.9765
125,BHS,2017,399.02
126,BHS,2018,401.9065
127,BHS,2019,404.557
128,BHS,2020,406.4715
129,BHS,2021,407.9055
130,BHS,2022,409.984
131,BHS,2023,412.6235
132,BHR,2013,1261.673
133,BHR,2014,1311.1345
134,BHR,2015,1362.142
135,BHR,2016,1409.661
